City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,92,PF,1552687962,100,-23.12,-134.97,76.95,26.53
Bredasdorp,68,ZA,1552687305,94,-34.53,20.04,73.0,12.75
Miraflores,88,CO,1552688310,78,5.2,-73.14,61.29,2.15
Elizabeth City,90,US,1552688054,60,36.3,-76.22,77.0,13.87
Rayachoti,0,IN,1552688310,67,14.06,78.75,64.62,4.38
Saint George,20,GR,1552687400,93,39.45,22.34,50.0,4.16
Port Alfred,92,ZA,1552687859,97,-33.59,26.89,72.0,11.21
East London,12,ZA,1552687848,100,-33.02,27.91,75.51,9.53
Ashqelon,20,IL,1552688121,81,31.67,34.57,54.0,2.24
Hithadhoo,64,MV,1552687967,100,-0.6,73.08,83.47,6.06
Barrow,68,AR,1552687949,94,-38.31,-60.23,67.36,14.0
Kiama,75,AU,1552688230,100,-34.67,150.86,72.0,6.93
Busselton,32,AU,1552687909,66,-33.64,115.35,60.01,13.11
Luderitz,44,NA,1552688049,96,-26.65,15.16,61.06,8.19
Eureka,1,US,1552687942,100,40.8,-124.16,62.01,13.87
Tiksi,12,RU,1552688286,37,71.64,128.87,-25.12,2.71
Lichuan,92,CN,1552688311,88,30.3,108.94,40.86,2.04
Lebu,0,ET,1552687951,58,8.96,38.73,54.18,6.4
Hobart,20,AU,1552687756,76,-42.88,147.33,60.01,9.17
Upernavik,32,GL,1552687959,100,72.79,-56.15,-4.33,14.9
Hasaki,75,JP,1552687474,93,35.73,140.83,41.0,9.17
Esperance,40,TT,1552687807,78,10.24,-61.45,81.0,8.05
Saldanha,0,PT,1552688005,72,41.42,-6.55,40.32,2.71
Punta Arenas,75,CL,1552687400,71,-53.16,-70.91,55.4,12.75
Tasiilaq,0,GL,1552683000,78,65.61,-37.64,14.0,3.36
Anadyr,20,RU,1552687994,77,64.73,177.51,1.4,4.47
Georgetown,75,GY,1552687200,78,6.8,-58.16,82.4,9.17
Udachnyy,88,RU,1552688312,84,66.42,112.4,14.44,2.37
Ponta do Sol,48,BR,1552687983,79,-20.63,-46.0,77.17,4.94
Vestmannaeyjar,92,IS,1552687985,100,63.44,-20.27,33.84,8.63
Hofn,88,IS,1552688313,100,64.25,-15.21,37.84,23.85
Ushuaia,75,AR,1552683600,58,-54.81,-68.31,55.4,23.04
Yellowknife,90,CA,1552687687,73,62.45,-114.38,24.01,3.36
Nikolskoye,75,RU,1552687835,92,59.7,30.79,36.0,11.18
Vernon,1,CA,1552688107,60,50.27,-119.27,48.0,4.7
Burdur,75,TR,1552686600,86,37.72,30.29,41.0,10.29
Tuatapere,8,NZ,1552687805,81,-46.13,167.69,59.0,13.0
Mataura,0,NZ,1552687805,81,-46.19,168.86,59.0,13.0
Gat,0,SN,1552685400,36,14.69,-16.54,75.2,12.75
Sorong,36,ID,1552687969,100,-0.86,131.25,78.57,9.53
Zavodouspenskoye,75,RU,1552685400,79,56.86,65.02,21.2,13.42
Qaanaaq,24,GL,1552687950,100,77.48,-69.36,-17.56,6.51
Sarangani,0,PH,1552688315,99,5.4,125.46,80.14,11.21
Butaritari,64,KI,1552687957,100,3.07,172.79,81.22,14.67
New Norfolk,20,AU,1552687936,76,-42.78,147.06,60.01,9.17
Bethel,1,US,1552686960,63,60.79,-161.76,33.8,11.41
Forbes,0,AU,1552687591,56,-33.38,148.01,73.0,1.99
Natal,40,BR,1552687200,83,-5.81,-35.21,80.6,8.05
Havre-Saint-Pierre,90,CA,1552686240,95,50.23,-63.6,33.8,11.41
Saskylakh,68,RU,1552688020,73,71.97,114.09,0.18,5.84
Bluff,92,AU,1552687969,99,-23.58,149.07,67.59,5.28
Turka,76,UA,1552688080,74,49.16,23.03,39.99,3.0
Saint-Pierre,90,FR,1552687925,87,48.95,4.24,53.6,23.04
Buala,0,SB,1552688316,91,-8.15,159.59,82.21,5.06
Greymouth,92,NZ,1552688316,99,-42.45,171.21,63.36,10.09
Boende,8,CD,1552688317,95,-0.28,20.88,74.74,3.04
Faanui,12,PF,1552687954,100,-16.48,-151.75,83.02,4.72
Ribeira Grande,20,PT,1552683600,82,38.52,-28.7,60.8,11.41
Beringovskiy,76,RU,1552687986,86,63.05,179.32,4.27,20.94
Teya,75,MX,1552688201,52,21.05,-89.07,89.6,4.7
Monrovia,20,LR,1552683600,83,6.33,-10.8,82.4,10.98
Castro,8,CL,1552687200,59,-42.48,-73.76,66.2,5.82
Nanortalik,0,GL,1552688006,100,60.14,-45.24,20.56,9.75
Cherskiy,48,RU,1552688055,64,68.75,161.3,-22.15,4.72
Portland,75,US,1552687828,26,45.52,-122.67,64.0,4.7
San Patricio,88,PY,1552687978,74,-26.98,-56.83,81.76,2.82
Marzuq,0,YE,1552688318,92,14.4,46.47,54.99,2.48
Provideniya,8,RU,1552688044,100,64.42,-173.23,14.26,21.83
Rocha,100,UY,1552688319,75,-34.48,-54.34,72.49,14.12
Mahebourg,20,MU,1552687744,88,-20.41,57.7,77.0,6.93
Mar del Plata,24,AR,1552687980,64,-46.43,-67.52,67.32,11.21
Saint-Philippe,90,CA,1552687910,61,45.36,-73.48,48.99,23.04
Ancud,0,CL,1552687200,59,-41.87,-73.83,66.2,5.82
Chokurdakh,44,RU,1552687957,66,70.62,147.9,-22.42,3.27
Anchorage,90,US,1552688190,74,61.22,-149.89,37.99,5.73
Atuona,36,PF,1552687948,100,-9.8,-139.03,81.76,15.35
Kapaa,1,US,1552687709,61,22.08,-159.32,78.8,9.17
Sao Joao da Barra,75,BR,1552687200,83,-21.64,-41.05,80.6,4.7
Souillac,90,FR,1552687931,93,45.6,-0.6,51.01,9.17
Arraial do Cabo,75,BR,1552683600,70,-22.97,-42.02,84.2,4.7
Camacha,20,PT,1552685400,77,33.08,-16.33,60.8,2.24
Laguna,5,MX,1552682880,22,27.52,-110.01,77.0,4.7
Hilo,1,US,1552687934,61,19.71,-155.08,78.8,11.41
Blackwater,68,GB,1552688318,93,51.33,-0.78,53.01,11.41
Puerto Ayora,0,EC,1552687308,74,-0.74,-90.35,80.6,10.29
Carnarvon,92,ZA,1552687963,49,-30.97,22.13,71.14,3.6
Laibin,92,CN,1552688321,97,23.74,109.23,55.53,3.71
Vao,32,EE,1552688321,94,59.1,26.19,35.37,12.21
Kenai,90,US,1552687867,74,60.55,-151.26,37.99,25.28
Iqaluit,90,CA,1552687968,65,63.75,-68.52,6.8,9.75
Muravlenko,92,RU,1552688322,82,63.79,74.5,11.16,21.72
Albany,90,US,1552687954,55,42.65,-73.75,66.2,5.82
Troitskoye,24,RU,1552688322,82,52.98,84.68,32.13,7.96
Vallenar,0,CL,1552688076,63,-28.58,-70.76,70.47,2.93
Pozo Colorado,76,PY,1552688323,98,-23.49,-58.8,77.62,9.08
Nouakchott,0,MR,1552685400,56,18.08,-15.98,71.6,10.29
Fairbanks,1,US,1552687080,35,64.84,-147.72,41.0,9.17
Bursa,75,TR,1552684800,93,40.18,29.07,41.0,6.93
Prien,90,US,1552688311,76,30.18,-93.27,59.0,13.87
Mehamn,90,NO,1552686600,86,71.03,27.85,32.0,16.11
Bangassou,0,CF,1552688324,93,4.74,22.82,72.54,2.04
Castelo Branco,8,PT,1552688324,77,39.82,-7.5,48.01,3.6
Nyurba,76,RU,1552688324,80,63.29,118.35,11.56,2.59
Jamestown,0,AU,1552687964,80,-33.21,138.6,46.84,5.06
Narsaq,75,GL,1552683000,57,60.91,-46.05,19.4,2.24
Chiredzi,92,ZW,1552688324,97,-21.05,31.67,70.96,13.56
Arman,24,RU,1552688018,64,59.7,150.17,-9.41,3.83
Kodiak,40,US,1552687930,13,39.95,-94.76,48.99,20.8
Boa Vista,40,BR,1552687200,38,2.82,-60.67,93.2,5.82
Muros,0,ES,1552688254,93,42.77,-9.06,55.0,2.24
Lukulu,24,ZM,1552688327,84,-14.38,23.24,69.52,2.93
Hamilton,75,BM,1552687853,68,32.3,-64.78,64.4,6.93
Sobolevo,20,RU,1552687991,84,54.43,31.9,32.17,16.8
Mwingi,32,KE,1552688287,78,-0.93,38.07,66.96,3.6
Guymon,1,US,1552687665,27,36.68,-101.48,53.6,8.05
Klaksvik,92,FO,1552686600,80,62.23,-6.59,39.2,6.93
Cape Town,0,ZA,1552687865,77,-33.93,18.42,73.99,8.05
Kelvington,32,CA,1552688328,100,52.16,-103.52,28.26,4.94
Vaini,0,IN,1552687972,81,15.34,74.49,65.79,1.92
Avarua,64,CK,1552685400,83,-21.21,-159.78,80.6,20.8
Gisborne,0,NZ,1552687810,62,-38.66,178.02,79.0,5.01
Vila Velha,40,BR,1552687692,83,-3.71,-38.6,82.4,5.82
Kudahuvadhoo,64,MV,1552688328,100,2.67,72.89,79.24,2.59
Thompson,20,CA,1552683600,48,55.74,-97.86,17.6,3.36
Codrington,92,AU,1552687899,94,-28.95,153.24,68.0,3.36
Novo Aripuana,36,BR,1552688329,71,-5.12,-60.38,85.99,1.92
Bilibino,48,RU,1552687971,47,68.06,166.44,-17.2,2.93
La Ronge,40,CA,1552683600,43,55.1,-105.3,33.8,9.17
Tuktoyaktuk,75,CA,1552683600,77,69.44,-133.03,6.8,4.7
Aguimes,0,ES,1552687974,82,27.91,-15.45,64.4,16.11
Cidreira,8,BR,1552687972,77,-30.17,-50.22,75.42,11.77
Tura,92,IN,1552688029,82,25.52,90.21,65.43,4.38
Bambanglipuro,92,ID,1552688262,100,-7.95,110.28,70.29,3.15
Karratha,0,AU,1552687828,53,-20.74,116.85,78.97,7.4
Cabo San Lucas,75,MX,1552687844,56,22.89,-109.91,75.99,8.05
Ust-Shonosha,92,RU,1552688330,92,61.15,41.34,29.43,16.24
Olinda,40,EC,1552688260,70,-2.03,-79.75,87.8,11.41
Ust-Nera,56,RU,1552688282,50,64.57,143.24,-19.76,2.15
Leningradskiy,68,RU,1552688045,81,69.38,178.42,-13.06,7.29
Clyde River,40,CA,1552683600,82,70.47,-68.59,-18.41,3.36
Aklavik,20,CA,1552683600,55,68.22,-135.01,14.0,3.36
Imeni Poliny Osipenko,0,RU,1552688331,67,52.42,136.49,1.98,2.48
Zlobin,20,HR,1552688279,71,45.29,14.65,50.0,5.82
Show Low,1,US,1552688109,31,34.25,-110.03,57.0,3.36
Ahuimanu,20,US,1552688141,69,21.44,-157.84,82.4,6.93
Gazojak,88,TM,1552688077,52,41.19,61.4,54.0,13.67
Pochutla,20,MX,1552688182,43,15.74,-96.47,91.4,6.4
Chuy,8,UY,1552687789,82,-33.69,-53.46,73.66,15.46
Hassleholm,80,SE,1552688283,86,56.16,13.77,39.99,11.41
Kununurra,36,AU,1552687200,94,-15.77,128.74,77.0,2.93
Lovington,5,US,1552688185,21,32.94,-103.35,48.99,9.17
Port Elizabeth,75,US,1552687890,56,39.31,-74.98,75.2,20.8
Ilulissat,90,GL,1552683000,50,69.22,-51.1,6.8,8.05
San Pedro,64,AR,1552687821,78,-33.68,-59.66,73.99,1.99
Kharan,92,PK,1552688335,52,28.58,65.42,52.65,2.59
Kavieng,88,PG,1552688069,100,-2.57,150.8,79.51,11.77
Lompoc,40,US,1552687755,29,34.64,-120.46,71.6,6.93
Puerto Cabezas,75,NI,1552683600,66,14.04,-83.39,86.0,11.41
Jizan,0,SA,1552683600,69,16.89,42.56,82.4,6.73
Srednekolymsk,80,RU,1552688336,64,67.46,153.71,-14.14,3.38
Talnakh,48,RU,1552687991,83,69.49,88.39,0.22,3.38
Sept-Iles,90,CA,1552687697,99,50.2,-66.38,33.01,14.99
Amberley,76,NZ,1552688239,77,-43.15,172.73,68.0,1.12
Ghanzi,0,BW,1552688050,35,-21.7,21.65,74.07,9.86
Mackay,20,CA,1552683600,30,53.65,-115.58,41.0,12.75
Khatanga,36,RU,1552687953,78,71.98,102.47,-8.02,8.41
Salinas,1,US,1552688091,37,36.67,-121.66,72.0,6.93
Dikson,0,RU,1552687950,82,73.51,80.55,-1.76,7.18
Kultuk,12,RU,1552688281,39,51.73,103.71,26.01,2.15
Gimli,12,CA,1552688144,64,50.63,-96.99,27.0,5.01
Ishigaki,75,JP,1552683600,45,24.34,124.16,68.0,18.34
Fortuna,0,ES,1552687823,71,38.18,-1.13,59.0,4.7
Mezen,92,RU,1552688341,84,65.85,44.24,27.81,7.96
Hermanus,0,ZA,1552687305,87,-34.42,19.24,73.0,13.0
Airai,48,TL,1552687967,79,-8.93,125.41,68.62,1.36
Sal Rei,0,CV,1552683600,83,16.18,-22.92,69.8,10.29
Plettenberg Bay,0,ZA,1552688342,93,-34.05,23.37,69.93,20.27
Lazaro Cardenas,75,MX,1552688220,27,28.39,-105.62,64.4,19.46
Egvekinot,80,RU,1552688307,72,66.32,-179.17,-7.61,8.63
Bandar-e Lengeh,0,IR,1552683600,73,26.56,54.88,69.8,6.93
Port Blair,0,IN,1552688011,100,11.67,92.75,82.08,7.74
Marienburg,0,DE,1552688339,65,52.12,9.98,46.4,14.99
Brae,68,GB,1552686600,80,60.4,-1.35,42.8,6.93
Baruun-Urt,68,MN,1552688343,80,46.68,113.28,25.42,7.85
Hope,20,CA,1552687900,54,49.38,-121.43,59.0,4.7
Qandala,0,SO,1552688344,89,11.47,49.87,68.49,3.04
Severo-Kurilsk,88,RU,1552688012,100,50.68,156.12,25.42,11.99
San Cristobal,40,EC,1552687242,40,-0.39,-78.55,73.4,12.75
Vostok,8,RU,1552688065,67,46.45,135.83,6.39,2.04
Poya,0,NC,1552688347,100,-21.35,165.16,76.68,3.83
Ambon,90,FR,1552688306,93,47.55,-2.56,52.0,9.17
Acapulco,5,MX,1552683240,70,16.86,-99.88,84.2,11.41
Sarkand,92,KZ,1552688079,77,45.41,79.91,38.11,7.18
Ignacio Zaragoza,0,MX,1552688296,15,28.57,-111.59,78.01,7.0
Nerchinskiy Zavod,0,RU,1552688349,64,51.31,119.61,9.18,4.16
Waingapu,92,ID,1552687985,100,-9.65,120.26,73.26,3.71
Lagoa,0,PT,1552687950,54,37.14,-8.45,64.0,2.24
Ninghai,0,CN,1552688307,87,29.29,121.42,48.0,4.47
Tripoli,20,GR,1552688196,93,37.51,22.37,51.01,1.81
Teguise,0,ES,1552687200,77,29.06,-13.56,66.2,8.05
Cockburn Town,92,TC,1552687955,100,21.46,-71.14,73.89,18.92
Jermuk,88,AM,1552688351,100,39.84,45.67,33.12,1.81
Maragogi,24,BR,1552688040,83,-9.01,-35.22,80.64,8.19
Rayadrug,0,IN,1552688351,40,14.7,76.87,72.81,8.63
Banda Aceh,0,ID,1552687659,99,5.56,95.32,72.99,2.04
Ardatov,64,RU,1552688351,83,55.24,43.1,20.74,9.64
Cayenne,40,GF,1552687200,74,4.94,-52.33,80.6,4.7
Kargil,56,PK,1552688352,85,34.56,76.13,4.54,1.14
Tungao,44,PH,1552688352,100,8.78,125.57,72.18,1.92
Sao Filipe,0,CV,1552688024,87,14.9,-24.5,73.26,14.67
Chapais,90,CA,1552686180,100,49.78,-74.86,35.6,12.75
Hobyo,100,SO,1552688353,84,5.35,48.53,79.2,11.43
Newport,90,GB,1552687749,100,51.59,-3.0,52.0,17.22
Shache,0,CN,1552688353,76,38.42,77.24,29.74,2.59
Thyboron,92,DK,1552688167,51,56.7,8.21,41.0,23.51
Rawson,92,AR,1552687961,97,-43.3,-65.11,64.66,7.74
Knokke-Heist,68,BE,1552688335,93,51.33,3.33,51.8,17.22
Norman Wells,20,CA,1552683600,62,65.28,-126.83,19.4,6.93
Necochea,92,AR,1552687690,78,-38.55,-58.74,70.0,5.99
Pasca,90,CO,1552687200,87,4.31,-74.3,59.0,10.29
Manavalakurichi,20,IN,1552687200,78,8.13,77.3,80.6,2.24
Vardo,90,US,1552687998,31,39.62,-77.74,77.0,5.82
Ende,92,ID,1552688355,100,-8.84,121.65,81.63,2.71
Vila Franca do Campo,75,PT,1552688014,76,37.72,-25.43,57.2,3.36
Terrace,90,CA,1552683600,86,54.52,-128.61,39.2,2.04
Nara,75,JP,1552688294,93,34.68,135.8,46.99,4.7
Donskoye,90,RU,1552685400,100,45.45,41.98,35.6,13.42
Melbu,75,NO,1552688241,86,68.5,14.83,30.2,8.05
Houston,75,US,1552687690,25,29.76,-95.37,63.0,16.11
Luanda,75,AO,1552683600,83,-8.83,13.24,82.4,9.17
Calabozo,44,VE,1552688356,30,8.92,-67.43,96.61,12.88
Loandjili,75,CG,1552687200,94,-4.77,11.87,82.4,6.93
Port Hedland,0,AU,1552687200,62,-20.31,118.58,84.2,5.82
Atar,0,MR,1552688357,17,20.52,-13.05,70.47,6.06
Bambous Virieux,20,MU,1552687744,88,-20.34,57.76,77.0,6.93
Moerai,20,PF,1552688357,100,-22.43,-151.33,79.51,22.73
Chiapa,64,MX,1552688357,65,18.47,-96.95,68.94,3.71
Mindelo,0,PT,1552688158,100,41.31,-8.72,55.99,2.24
Victoria,75,BN,1552685400,88,5.28,115.24,77.0,2.24
Marmaris,75,TR,1552688314,100,36.85,28.27,57.0,4.7
Ust-Kut,88,RU,1552688358,91,56.78,105.75,27.9,4.72
Houma,0,CN,1552688358,66,35.63,111.36,27.76,2.48
Kamloops,75,CA,1552687808,40,50.68,-120.34,51.8,6.93
Kruisfontein,36,ZA,1552687992,88,-34.0,24.73,68.17,14.45
Khatassy,0,RU,1552685400,75,61.91,129.64,-20.21,4.47
Quang Ngai,92,VN,1552687857,98,15.12,108.8,70.38,2.59
Caravelas,12,BR,1552687707,100,-17.73,-39.27,84.01,16.8
Sambava,24,MG,1552688359,100,-14.27,50.17,81.04,13.0
Naze,40,NG,1552683600,94,5.43,7.07,78.8,3.71
Ixtapa,75,MX,1552687819,73,20.71,-105.21,77.0,16.11
Bajil,0,ES,1552688360,70,38.23,-2.07,44.82,2.59
Mvuma,92,ZW,1552688360,95,-19.28,30.53,64.44,17.58
Solnechnyy,32,RU,1552688360,84,50.72,136.64,13.68,2.59
Dunbar,90,US,1552688062,63,45.65,-88.17,33.01,18.34
Sioux Lookout,90,CA,1552683780,73,50.1,-91.92,23.0,10.29
Bathsheba,40,BB,1552687200,74,13.22,-59.52,78.8,13.87
Kieta,92,PG,1552687991,100,-6.22,155.63,77.17,4.27
Matagami,8,NG,1552688042,31,9.67,8.4,71.46,5.84
Longyearbyen,20,NO,1552686600,70,78.22,15.63,1.4,11.41
Marion,1,US,1552687984,75,35.21,-90.2,57.2,9.17
Ahipara,92,NZ,1552688051,97,-35.17,173.16,68.22,6.17
