City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mecca,0,SA,1552688361,57,21.43,39.83,59.44,3.71
Hearst,92,CA,1552688362,69,49.69,-83.67,22.36,12.33
Salalah,92,OM,1552688019,100,17.01,54.1,73.98,5.95
Smithers,90,CA,1552683600,69,54.78,-127.17,35.6,9.17
Weihai,88,CN,1552688362,100,37.5,122.11,39.46,16.35
Hay River,75,CA,1552683600,64,60.82,-115.79,33.8,13.87
Abu Kamal,64,SY,1552688363,57,34.45,40.92,58.14,12.33
Baneh,75,IR,1552687200,100,35.99,45.88,46.4,2.24
Arica,0,CL,1552687200,68,-18.48,-70.32,73.4,12.75
Kahului,20,US,1552687899,61,20.89,-156.47,81.0,17.22
Sitka,0,US,1552687289,35,37.17,-99.65,51.01,5.01
Bani,0,PH,1552688363,100,15.89,120.27,70.83,4.16
Ulladulla,75,AU,1552687266,100,-35.36,150.48,69.01,6.93
Lincoln,0,GB,1552688133,70,53.23,-0.54,46.99,12.75
Walvis Bay,8,NA,1552687334,82,-22.95,14.51,62.6,3.36
Ponta Delgada,75,PT,1552688315,76,37.73,-25.67,57.2,3.36
Porto Novo,75,BR,1552687200,94,-23.68,-45.44,75.2,6.93
Kavaratti,0,IN,1552688365,100,10.57,72.64,82.84,6.4
Jiexiu,0,CN,1552688365,59,37.02,111.92,25.47,3.04
Wuzhou,24,CN,1552688365,76,23.48,111.3,57.15,4.05
Mastung,80,PK,1552688365,76,29.8,66.85,39.51,2.59
Tautira,75,PF,1552687989,66,-17.73,-149.15,87.8,2.24
Port Keats,44,AU,1552688366,100,-14.25,129.55,77.76,4.61
Maniitsoq,24,GL,1552688366,87,65.42,-52.9,4.14,4.61
Road Town,40,VG,1552688029,69,18.42,-64.62,78.8,4.7
Mildura,0,AU,1552688221,59,-34.18,142.16,62.01,8.05
Megion,75,RU,1552685400,92,61.04,76.11,30.2,4.47
Torbay,75,CA,1552687867,74,47.66,-52.73,30.99,12.75
Pevek,0,RU,1552687957,79,69.7,170.27,-26.24,0.92
Biak,44,ID,1552688367,85,-0.91,122.88,81.04,5.17
Nishihara,90,JP,1552687993,80,35.74,139.53,48.0,4.7
Mayskiy,90,RU,1552683600,80,43.63,44.06,39.2,3.94
Sabzevar,48,IR,1552688368,94,36.21,57.68,47.43,8.41
Marsh Harbour,0,BS,1552688368,100,26.54,-77.06,74.43,10.54
Anaco,56,VE,1552688368,32,9.43,-64.46,93.37,13.67
Vila do Maio,0,CV,1552683600,53,15.13,-23.22,73.4,18.34
Montepuez,0,MZ,1552688368,92,-13.13,39.0,71.41,8.19
Pangnirtung,40,CA,1552683600,58,66.15,-65.72,-2.21,3.36
Kingston,90,CA,1552688176,86,44.23,-76.48,43.0,18.34
Gaya,75,IN,1552687200,88,24.8,85.01,68.0,4.27
Beyneu,92,KZ,1552688369,49,45.32,55.19,37.35,18.14
Vestmanna,92,FO,1552686600,80,62.16,-7.17,39.2,6.93
Ornskoldsvik,88,SE,1552686600,100,63.29,18.72,30.2,3.36
Jingdezhen,80,CN,1552688370,72,29.29,117.2,44.37,3.04
Guilin,90,CN,1552687200,93,25.28,110.29,55.4,2.93
Marawi,20,PH,1552688140,90,8.0,124.29,71.01,5.99
Boguchany,0,RU,1552688370,83,58.38,97.46,25.47,5.06
Severobaykalsk,44,RU,1552688371,72,55.65,109.32,11.7,2.37
Seoul,0,KR,1552687080,85,37.57,126.98,37.4,1.12
Ambovombe,68,MG,1552688371,87,-25.18,46.09,74.88,12.77
Tuburan,20,PH,1552683600,83,10.73,123.82,75.2,2.24
Port Hardy,75,CA,1552683600,71,50.7,-127.42,50.0,12.75
Mogadishu,48,SO,1552688303,98,2.04,45.34,81.94,19.04
Meulaboh,0,ID,1552687993,100,4.14,96.13,78.34,3.71
Dossor,64,KZ,1552688372,56,47.52,52.98,35.28,11.21
Sur,0,OM,1552688372,100,22.57,59.53,68.85,9.98
Mayo,20,CA,1552683600,40,63.59,-135.9,33.8,5.82
Ravar,0,IR,1552688372,43,31.27,56.81,57.51,7.96
Guaruja,75,BR,1552687200,83,-23.99,-46.26,78.8,11.41
Pangody,36,RU,1552688373,76,65.85,74.49,2.34,10.98
Council Bluffs,75,US,1552688183,48,41.26,-95.86,46.0,14.99
Russell,75,AR,1552687200,46,-33.01,-68.8,73.4,6.93
Tynda,68,RU,1552688374,64,55.15,124.74,4.5,2.48
Coos Bay,1,US,1552688140,67,43.37,-124.22,66.99,10.29
Katsuura,75,JP,1552686671,80,33.93,134.5,42.8,14.99
Batabano,75,CU,1552687989,58,22.72,-82.29,86.0,12.75
Khasan,0,RU,1552688374,100,42.43,130.64,25.2,7.63
Nemuro,92,JP,1552688375,92,43.32,145.57,32.89,11.65
Mirnyy,68,RU,1552688375,88,56.57,36.46,28.08,15.12
Ofunato,8,JP,1552688375,84,39.11,141.75,32.4,5.61
Geraldton,90,CA,1552684560,78,49.72,-86.95,17.6,13.87
Padang,40,ID,1552683600,94,-0.92,100.36,75.2,2.24
Nikitinskiy,92,RU,1552685400,100,45.0,37.87,42.8,2.24
Minab,40,IR,1552685400,68,27.15,57.07,68.0,6.93
Hualmay,20,PE,1552688376,66,-11.1,-77.61,77.62,5.06
Praia,40,BR,1552683600,58,-20.25,-43.81,82.4,3.36
Barahona,20,DO,1552683600,54,18.21,-71.1,84.2,17.22
Coihaique,0,CL,1552687200,45,-45.58,-72.07,66.2,10.29
Pilibanga,32,IN,1552688377,84,29.49,74.08,56.02,2.93
Santa Rosalia,0,IT,1552688374,81,38.07,13.27,61.0,11.41
Richards Bay,56,ZA,1552688026,95,-28.77,32.06,72.36,3.15
Fredericton,90,CA,1552688171,100,45.97,-66.65,44.6,14.99
Conceicao do Araguaia,56,BR,1552687778,100,-8.26,-49.26,82.39,4.94
Bacolod,0,PH,1552688378,83,10.68,122.95,73.71,9.42
Mosetse,0,BW,1552688378,48,-20.64,26.64,75.78,12.44
Husavik,12,CA,1552687815,64,50.56,-96.99,27.0,4.0
Puerto del Rosario,0,ES,1552687200,88,28.5,-13.86,66.2,8.05
Pisco,0,PE,1552687200,30,-13.71,-76.2,71.6,25.28
Karaton,40,ID,1552688353,78,-6.34,106.1,78.01,6.93
Khandyga,32,RU,1552688379,72,62.65,135.58,-2.84,2.59
Oyem,56,GA,1552688379,93,1.6,11.57,72.72,2.26
Isilkul,80,RU,1552688379,87,54.9,71.26,23.04,18.7
Simpang,75,MY,1552683600,88,4.82,100.71,77.0,2.24
Tromso,75,NO,1552687501,86,69.65,18.96,26.6,10.29
Constitucion,90,MX,1552687815,12,23.99,-104.67,69.8,4.7
West Wendover,1,US,1552686960,36,40.74,-114.07,44.6,5.82
Yushala,75,RU,1552685400,79,57.08,64.26,21.2,13.42
Qaqortoq,8,GL,1552686600,61,60.72,-46.03,17.6,2.24
Zheleznodorozhnyy,40,RU,1552688256,86,55.75,38.0,30.2,11.18
Alyangula,12,AU,1552683600,94,-13.85,136.42,77.0,4.16
Kyren,0,RU,1552688381,61,51.68,102.13,8.46,2.04
Vangaindrano,68,MG,1552688381,81,-23.35,47.6,70.29,3.04
Sola,75,NO,1552687999,86,58.89,5.65,41.0,5.82
Limulunga,76,ZM,1552688381,63,-15.13,23.15,73.44,2.15
Sao Felix do Xingu,24,BR,1552688381,79,-6.64,-51.99,83.88,1.92
Sainte-Marie,75,CA,1552688186,70,46.45,-71.03,45.0,21.92
Deputatskiy,12,RU,1552688383,43,69.3,139.9,-29.03,2.71
Zyryanka,48,RU,1552688383,64,65.73,150.89,-14.14,3.49
Valdemarpils,90,LV,1552686600,93,57.37,22.59,39.2,9.17
Aitape,76,PG,1552688383,95,-3.15,142.36,79.74,11.65
Asyut,8,EG,1552688383,46,27.18,31.19,50.85,5.95
Bataipora,32,BR,1552688384,72,-22.3,-53.27,83.11,5.95
Mount Isa,8,AU,1552687200,22,-20.73,139.49,78.8,3.36
Bud,0,NO,1552688208,54,62.91,6.91,37.4,6.93
Havoysund,75,NO,1552686600,74,71.0,24.66,32.0,11.41
Avera,90,US,1552688235,68,33.19,-82.53,73.4,11.41
Krasnovishersk,0,RU,1552688385,61,60.4,57.08,3.96,5.28
Hervey Bay,75,AU,1552688109,94,-25.3,152.85,73.0,3.36
Hoi An,75,VN,1552687200,88,15.88,108.33,77.0,3.36
Makakilo City,20,US,1552687840,57,21.35,-158.09,82.4,11.41
Oranjemund,92,ZA,1552688262,94,-28.55,16.43,64.44,2.82
Ayagoz,48,KZ,1552688386,80,47.96,80.43,29.11,10.2
Victoria,75,BN,1552685400,88,5.28,115.24,77.0,2.24
Coffs Harbour,75,AU,1552687204,88,-30.3,153.13,68.0,9.17
Flinders,75,AU,1552688067,100,-34.58,150.85,72.0,6.93
Orange Walk,40,JM,1552683600,58,17.93,-76.27,82.4,24.16
Cap-aux-Meules,90,CA,1552685580,86,47.38,-61.86,37.4,31.09
Yulara,24,AU,1552687200,26,-25.24,130.99,78.8,11.41
Kirkwall,40,GB,1552688204,80,58.98,-2.96,42.01,23.04
Dubbo,80,AU,1552687200,60,-32.25,148.6,69.8,17.22
Guerrero Negro,0,MX,1552687979,38,27.97,-114.04,72.45,5.39
Shingu,32,JP,1552688387,100,33.72,135.99,50.58,9.42
Ponnani,20,IN,1552687200,83,10.77,75.93,77.0,2.24
Arvika,76,SE,1552686619,98,59.65,12.59,34.0,5.82
Porto,0,PT,1552688213,100,41.15,-8.61,57.0,2.24
Sumbe,32,AO,1552688388,100,-11.2,13.84,78.39,5.06
Zhigansk,0,RU,1552688389,46,66.77,123.37,-15.94,2.15
Suntar,80,RU,1552688389,91,62.16,117.65,14.71,2.71
Camacupa,48,AO,1552688389,81,-12.02,17.48,65.34,3.94
Nouadhibou,0,MR,1552683600,72,20.93,-17.03,68.0,13.87
Kindersley,40,CA,1552687940,69,51.47,-109.16,41.0,14.99
Fatehpur,24,PK,1552688389,84,31.18,71.21,53.59,2.93
Sisimiut,0,GL,1552688263,83,66.94,-53.67,-6.22,1.7
Hwange,0,ZW,1552688390,47,-18.35,26.5,79.47,14.0
San Joaquin,24,PH,1552688390,92,10.59,122.14,74.47,9.98
Katangli,32,RU,1552688025,87,51.71,143.23,21.19,5.39
Tomatlan,8,MX,1552688391,62,19.93,-105.25,82.26,4.83
Macae,90,BR,1552683600,94,-22.37,-41.79,84.2,5.82
Dingle,24,PH,1552687966,92,11.0,122.67,74.47,9.98
Nhulunbuy,24,AU,1552687200,88,-12.18,136.78,80.6,8.19
Touros,75,BR,1552687200,94,-5.2,-35.46,78.8,6.93
Borger,88,NL,1552688390,75,52.92,6.79,46.4,14.99
Camargo,0,MX,1552688392,26,27.69,-105.17,63.9,13.78
Kyshtovka,64,RU,1552688392,88,56.56,76.62,24.61,15.12
Kuopio,90,FI,1552686600,93,62.89,27.68,33.8,9.17
La Paz,20,MX,1552682760,35,24.15,-110.32,71.6,13.87
Marystown,44,CA,1552687575,100,47.17,-55.16,34.0,13.22
Zabid,0,YE,1552688393,83,14.2,44.5,50.58,1.7
Jaciara,8,BR,1552688393,67,-15.95,-54.98,87.03,3.49
Shimoda,92,JP,1552687811,78,34.7,138.93,45.0,12.33
Bulawayo,92,ZW,1552688393,97,-20.16,28.59,64.71,11.65
Lavrentiya,76,RU,1552688272,100,65.58,-170.99,11.92,15.79
Kalmunai,0,LK,1552688394,99,7.42,81.82,69.12,2.59
Lensk,68,RU,1552688394,86,60.71,114.91,24.48,4.61
Los Alamos,1,US,1552688305,44,35.88,-106.3,46.0,4.16
Gori,20,GE,1552688394,82,41.99,44.11,33.93,2.04
Huangchuan,0,CN,1552687270,87,24.57,102.46,52.0,11.18
Dunedin,8,NZ,1552688080,61,-45.87,170.5,63.0,11.99
Alofi,76,NU,1552688036,100,-19.06,-169.92,78.97,11.88
Hambantota,0,LK,1552684200,94,6.12,81.12,77.0,5.82
Inuvik,20,CA,1552683600,51,68.36,-133.71,14.0,3.36
Fiumicino,40,IT,1552688386,93,41.77,12.23,54.0,4.7
Palembang,40,ID,1552687200,94,-2.99,104.76,78.8,3.27
Santa Vitoria do Palmar,8,BR,1552688395,82,-33.52,-53.37,73.66,15.46
Chake Chake,92,TZ,1552688396,96,-5.25,39.77,81.9,8.41
Hami,20,CN,1552688269,53,42.84,93.51,31.32,2.59
Te Anau,0,NZ,1552688285,91,-45.41,167.72,50.31,3.6
Dong Hoi,100,VN,1552688396,100,17.48,106.6,73.8,8.08
Hirara,0,JP,1552685400,48,24.8,125.28,66.2,12.75
Saint-Joseph,0,FR,1552687841,93,43.56,6.97,63.0,4.7
Rio Brilhante,24,BR,1552688396,85,-21.8,-54.54,79.29,5.73
Valle de Allende,8,MX,1552688397,32,26.94,-105.39,61.83,15.57
Kolaras,0,IN,1552688397,47,25.22,77.61,59.44,8.63
Antsohihy,36,MG,1552688397,100,-14.88,47.99,73.44,2.59
Esso,0,RU,1552688038,46,55.93,158.7,-18.23,2.48
Lasa,40,CY,1552688183,67,34.92,32.53,59.0,9.17
Port Moresby,90,PG,1552683600,94,-9.47,147.16,75.2,11.41
Linares,0,CL,1552688398,35,-35.85,-71.6,70.92,3.27
Ketchikan,90,US,1552686780,75,55.34,-131.65,44.6,17.22
Challans,90,FR,1552688227,87,46.85,-1.88,52.0,8.05
Belmonte,0,PT,1552688320,85,40.36,-7.35,51.01,1.01
San Rafael,0,AR,1552688401,28,-34.61,-68.33,71.01,7.4
Saint Lawrence,40,MT,1552688159,87,36.06,14.2,55.99,12.75
Nieuw Amsterdam,20,SR,1552687812,69,5.88,-55.08,82.4,9.17
Benghazi,20,LY,1552688401,100,32.12,20.07,60.57,18.48
Sabha,0,LY,1552688402,48,27.03,14.43,49.86,3.83
Mitsamiouli,0,KM,1552688078,100,-11.38,43.28,80.14,4.27
Kasungu,8,MW,1552688402,83,-13.04,33.48,68.13,5.73
Araguaina,68,BR,1552688402,87,-7.19,-48.21,82.17,3.27
San Vicente,20,SV,1552686600,55,13.64,-88.78,86.0,8.05
Sunagawa,75,JP,1552687214,92,43.5,141.91,32.0,5.82
Nakamura,75,JP,1552688360,75,35.17,136.87,44.6,5.82
Eldorado,75,MX,1552688356,37,24.32,-107.36,84.0,4.7
Ust-Kuyga,12,RU,1552688403,42,70.0,135.55,-27.55,2.59
Kloulklubed,90,PW,1552686600,94,7.04,134.26,75.2,3.36
Bodaybo,48,RU,1552688404,79,57.85,114.2,24.39,5.17
Slave Lake,1,CA,1552683600,44,55.28,-114.77,39.2,25.28
Zhanaozen,92,KZ,1552688404,40,43.35,52.85,46.12,17.02
Kolobrzeg,92,PL,1552688354,83,54.18,15.58,41.0,35.03
Orlik,0,RU,1552688404,61,52.51,99.83,7.2,3.15
Ossora,0,RU,1552688405,94,59.24,163.07,-11.98,5.39
San Quintin,0,PH,1552687980,89,17.54,120.52,66.06,3.04
Nelson Bay,75,AU,1552688372,88,-32.72,152.14,70.0,5.82
Chimbote,12,PE,1552688405,75,-9.08,-78.59,76.86,6.51
Francisco Sa,40,BR,1552683600,61,-16.48,-43.49,78.8,21.92
Lewistown,1,US,1552688403,36,40.39,-90.15,46.4,16.11
Sorland,90,NO,1552686600,92,67.67,12.69,30.2,9.17
Saint-Prosper,64,CA,1552688211,71,46.21,-70.48,46.99,8.99
Rafai,12,CF,1552688075,94,4.95,23.92,71.28,2.59
Miri,0,NG,1552688406,30,10.31,9.75,72.99,6.17
Inverell,92,AU,1552688404,71,-29.78,151.11,73.99,1.99
Alice Town,0,BS,1552688407,100,25.72,-79.3,75.78,10.98
Copiague,40,US,1552688264,87,40.68,-73.4,64.99,19.46
Santa Cruz de Tenerife,0,ES,1552688404,82,28.47,-16.25,64.99,6.93
Tocantins,88,BR,1552688404,99,-21.17,-43.02,78.01,3.0
Kharp,8,RU,1552688408,45,66.82,65.8,-7.3,3.15
Songjianghe,20,CN,1552688076,63,42.18,127.48,4.81,2.93
Mangai,12,CD,1552688408,94,-4.07,19.59,76.5,3.6
Bekovo,92,RU,1552688409,89,52.46,43.7,26.14,13.78
Shelburne,90,CA,1552688202,80,44.08,-80.2,42.01,10.29
La Plata,40,AR,1552688046,88,-34.92,-57.95,73.4,16.11
Sinnamary,80,GF,1552688409,89,5.38,-52.96,81.54,10.31
Leninskoye,90,RU,1552685400,80,54.82,82.85,35.6,8.95
Miranda,40,CO,1552687200,51,3.25,-76.23,86.0,5.82
Soto la Marina,92,MX,1552688410,62,23.77,-98.21,62.41,16.35
Tete,75,MZ,1552683600,94,-16.16,33.59,77.0,2.71
Port Macquarie,75,AU,1552688045,77,-31.43,152.91,69.8,5.82
Dakar,0,SN,1552687200,73,14.69,-17.45,73.4,6.93
Ban Nahin,0,LA,1552688411,86,18.24,104.21,65.74,2.15
Buraydah,0,SA,1552683600,44,26.33,43.97,60.8,6.93
North Bend,1,US,1552687835,67,43.41,-124.22,66.0,10.29
Najran,40,SA,1552683600,36,17.54,44.22,77.0,4.7
Salinopolis,44,BR,1552688411,94,-0.61,-47.36,81.63,11.77
Dumas,0,IN,1552688412,95,21.09,72.71,75.42,16.8
Colares,0,PT,1552688071,55,38.8,-9.45,63.0,8.05
Lavras,76,BR,1552688412,97,-21.24,-45.0,70.96,5.73
Mount Gambier,0,AU,1552683600,100,-37.83,140.78,50.0,3.36
Zambezi,12,ZM,1552688412,82,-13.55,23.12,70.11,2.82
Mwembe,0,TZ,1552688412,75,-4.16,37.84,69.61,3.71
Buchanan,20,LR,1552687200,94,5.88,-10.05,80.6,8.86
Coahuayana,0,MX,1552688413,26,18.62,-100.35,88.42,3.04
Boyolangu,12,ID,1552688413,94,-8.09,111.9,70.87,5.61
Pedernales,56,EC,1552688413,91,0.07,-80.05,78.93,8.97
Sao Gabriel da Cachoeira,20,BR,1552683600,59,-0.13,-67.09,91.4,2.24
Lang Son,92,VN,1552688414,98,21.83,106.73,60.93,3.04
Lodwar,0,KE,1552688414,47,3.12,35.6,80.59,7.96
Huamachuco,68,PE,1552688414,87,-7.82,-78.05,54.31,2.15
Patacamaya,0,BO,1552688414,73,-17.23,-67.92,57.46,9.75
Yashkul,92,RU,1552688415,63,46.17,45.34,37.71,12.88
Ocean City,75,US,1552688146,53,30.44,-86.61,75.2,5.82
Dawei,0,MM,1552688272,88,14.07,98.19,70.96,2.37
Jiwani,12,PK,1552688415,92,25.05,61.74,64.57,3.94
San Jose,80,PH,1552688117,98,15.79,120.99,70.47,2.15
Skibbereen,90,IE,1552685400,100,51.55,-9.27,50.0,21.92
